ID,NAME,DEFINITION
066,2G,Second Generation
459,3DES,Triple Digital Encryption Standard
067,3G,Third Generation
068,4G,Fourth Generation
069,5G,Fifth Generation
088,A,IPv4 Address Record
146,AAA,Authentication Authorization and Accounting
089,AAAA,IPv6 Address Record
303,AAAA,Authentication Authorization Accounting and Auditing
460,ABAC,Attribute-based Access Control
288,ACK,Acknowledgement
245,ACL,Access Control List
173,ADSL,Asynchronous Digital Subscriber Line
461,AES,Advanced Encryption Standard
462,AES256,Advanced Encryption Standards 256bit
214,AH,Authentication Header
463,ALE,Annualized Loss Expectancy
034,AP,Access Point
117,APC,Angled Polished Connector / Angled Physical Contact
464,API,Application Programming Interface
302,APIPA,Automatic Private IP Addressing
265,APT,Advanced Persistent Threat
222,ARD,Apple Remote Desktop
304,ARIN,American Registry for Internet Numbers
465,ARO,Annualized Rate of Occurrence
257,ARP,Address Resolution Protocol
031,AS,Autonomous Systems
291,ASCII,American Standard Code for Information Interchange
133,ASIC,Application Specific Integrated Circuit
466,ASLR,Address Space Layout Randomization
105,ASM,Address Space Management
305,ASP,Application Service Provider
181,ATM,Asynchronous Transfer Mode
229,AUP,Acceptable Use Policy
308,Auto-MDX,Automatic Medium-Dependent Interface Crossover
467,AV,Antivirus / Asset Value
468,BAC,Business Availability Center
309,BCP,Business Continuity Plan
008,BEAST,Browser Exploit Against SSL and TLS
211,BER,Bit Error Rate
310,BERT,Bit Error Rate Test
030,BGP,Border Gateway Protocol
469,BIA,Business Impact Analysis
125,BiDi,Bi Directional
470,BIOS,Basic Input / Output System
311,BLE,Bluetooth Low Energy
113,BNC,British Naval Connector / Boyonet Niell-Concelman
312,BootP,Boot Protocol / Bootstrap Protocol
471,BPA,Business Partners Agreement
472,BPDU,Bridge Protocol Data Unit
168,BRI,Basic Rate Interface
313,BSSID,Basic Service Set Identifier
045,BT,Bluetooth
227,BYOD,Bring Your Own Device
473,CA,Certificate Authority
314,CaaS,Communication as a Service
474,CAC,Common Access Card
315,CAM ,Content Addressable Memory
041,CAN,Campus Area Network / Controller Area Network
475,CAPTCHA,Completely Automated Public Turing Test to Tell Computers and Humans Apart
476,CAR,Corrective Action Report
316,CARP,Common Address Redundancy Protocol
317,CASB,Cloud Access Security Broker
109,CAT,Category
477,CBC,Cipher Block Chaining
250,CCMP,Counter Mode Cipher Block Chaining Message Authentication Code Protocol
318,CCTV,Closed Circuit Television
063,CDMA,Code Division Multiple Access
478,CER,Cross-over Error Rate
479,CERT,Computer Emergency Response Team
480,CFB,Cipher Feedback
319,CHAP,Challenge Handshake Authentication Protocol
271,CIA,Confidentiality Integrity Accessibility
025,CIDR,Classless Inter-Domain Routing
158,CIFS,Common Internet File System
481,CIO,Chief Information Officer
482,CIRT,Computer Incident Response Team
483,CMS,Content Management System
099,CNAME,Cannonical Name
484,COOP,Continuity of Operations Plan
485,COPE,Corporate Owned Personally Enabled
298,CoS,Class of Service
486,CP,Contingency Planning
184,CPE,Customer Premises Equipment
212,CPU,Central Processing Unit
293,CR/LF,Carriage Return/Line Feed
320,CRAM-MD5,Challenge REsponse Authentication Mechanism-Message Digest 5
487,CRC,Cyclical Redundancy Check
488,CRL,Certificate Revocation List
102,CRM,Customer Relationship Management
489,CSIRT,Computer Security Incident Response Team
294,CSMA-CA/CD,Carrier Sense Multiple Access Collision Avoidance/Collision Detection
490,CSO,Chief Security Officer
491,CSP,Cloud Service Provider
492,CSR,Certificate Signing Request
493,CSRF,Cross-site Request Forgery
191,CSU,Channel Service Unit
494,CTM,Counter-Mode
495,CTO,Chief Technology Officer
496,CTR,Counter
322,CVE,Common Vulnerabilities and Exposures
323,CVW,Collaborative Virtual Workspace
324,CWDM,Coarse Wave Division Multiplexing
497,CYOD,Choose Your Own Device
064,D-AMPS,Digital Advanced Mobile Phone Service
325,DaaS,Desktop as a Service
498,DAC,Discretionary Access Control
156,DAS,Direct Attached Storage
263,dB,Decibels
499,DBA,Database Administrator
326,DCS,Distributed Computer System
327,DDoS,Distributed Denial of Service
500,DEP,Data Execution Prevention
501,DER,Distinguished Encoding Rules
020,DES,Data Encryption Standard / Digital Encryption Standard
502,DFIR,Digital Forensics and Investigation Response
100,DHCP,Dynamic Host Configuration Protocol
